City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
276,Broome,US,2022-04-14 21:40:57,42.2506,-75.833,54.9,74,100,12.66
277,Rovaniemi,FI,2022-04-14 21:40:58,66.5,25.7167,31.41,80,0,9.22
278,Upernavik,GL,2022-04-14 21:40:58,72.7868,-56.1549,-9.94,97,41,8.93
279,Rocha,UY,2022-04-14 21:36:27,-34.4833,-54.3333,52.86,71,0,7.94
280,Mnichovo Hradiste,CZ,2022-04-14 21:40:58,50.5272,14.9713,53.13,88,94,8.52
281,Nandi Hills,KE,2022-04-14 21:40:59,0.1066,35.1838,58.44,84,100,4.12
282,Necochea,AR,2022-04-14 21:40:59,-38.5473,-58.7368,54.75,66,0,7.9
283,Kavaratti,IN,2022-04-14 21:40:59,10.5669,72.642,82.11,75,30,5.53
284,San Policarpo,PH,2022-04-14 21:41:00,12.1791,125.5072,76.15,90,90,5.1
285,Opunake,NZ,2022-04-14 21:41:00,-39.4556,173.8583,62.85,68,15,7.2
286,Glace Bay,CA,2022-04-14 21:41:01,46.1969,-59.957,45.05,76,40,12.66
287,Tadine,NC,2022-04-14 21:41:01,-21.55,167.8833,79.99,83,100,13.09
288,La Primavera,CO,2022-04-14 21:41:02,5.4906,-70.4092,95.11,32,95,2.57
289,Mahajanga,MG,2022-04-14 21:41:02,-15.7167,46.3167,80.62,74,40,2.3
290,Batagay,RU,2022-04-14 21:41:03,67.6333,134.6333,8.73,89,68,1.19
291,Yashan,CN,2022-04-14 21:41:03,22.1975,109.9419,71.04,87,1,2.3
292,Trujillo,PE,2022-04-14 21:41:04,-8.116,-79.03,66.16,82,81,12.66
